feature,min,max
0,0.0,3.0
1,0.0,2.6
2,-1.0,1.0
3,0.2,1.0
4,0.0,1.0
5,0.0,58.52349955359813
6,0.0,64.0
7,0.0,1.0
8,1.0,1.0
9,0.0,12.0
10,0.0,21.0
11,0.0,1.0
12,-1.0,-1.0
13,-0.16666666666666666,-0.16666666666666666
14,-0.16666666666666666,-0.16666666666666666
15,-0.1,0.1
16,0.0,0.0
17,1.0,1.0
18,0.0,0.0
19,0.0,966.0
20,0.0,13.0
21,0.0,0.9333333333333333
22,0.0,1.0
23,0.0,0.99
24,0.0,1.0
25,0.36,0.76
26,0.0,19.0
27,0.0,1.0
28,0.0,73.40980860893181
29,0.0,1.0
30,0.0,1.0
31,0.5,0.5
32,0.0,3.1108245004537824
33,0.0,3.6998243447397265
34,0.0,7.006991752289036
35,-6.0,6.0
36,0.0,1.0
37,0.0,1.0
38,0.0,0.9999999999999999
39,0.0,1.0
40,0.37749999999999995,0.6427499999999999
41,0.0,728.0
42,0.0,0.0
43,-1.0,26.68332812825267
44,0.0,13.0
45,-1.0,-1.0
46,-1.0,-1.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
